fip,0 Days,1 Days,2 Days,3 Days,4 Days,5 Days,6 Days,7 Days,8 Days,9 Days,10 Days
1001,0,0.071428571,0.5,0.785714286,0.857142857,0.928571429,1,1,1,1,1
1003,0.033783784,0.222972973,0.47972973,0.77027027,0.864864865,0.918918919,0.959459459,0.966216216,1,1,1
1005,0,0.5,0.5,0.5,0.75,0.75,1,1,1,1,1
1007,0,0,0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,1,1,1
1009,0,0.166666667,0.416666667,0.583333333,0.583333333,0.833333333,0.833333333,1,1,1,1
1015,0.074074074,0.296296296,0.666666667,0.740740741,0.888888889,1,1,1,1,1,1
1019,0,0,0,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.833333333,0.833333333
1021,0.0625,0.125,0.25,0.5625,0.75,0.8125,0.8125,0.9375,1,1,1
1025,0,0,0.75,1,1,1,1,1,1,1,1
1027,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1
1029,0,0.25,0.5,0.5,0.5,0.5,0.75,1,1,1,1
1031,0.076923077,0.384615385,0.538461538,0.692307692,0.846153846,1,1,1,1,1,1
1033,0,0.1,0.3,0.4,0.55,0.65,0.7,0.75,0.75,0.8,0.9
1039,0,0,0.333333333,0.5,0.666666667,1,1,1,1,1,1
1043,0.090909091,0.090909091,0.363636364,0.727272727,0.818181818,0.954545455,1,1,1,1,1
1045,0,0.333333333,0.666666667,0.75,0.916666667,1,1,1,1,1,1
1047,0,0,0.428571429,0.428571429,0.857142857,0.857142857,0.857142857,1,1,1,1
1049,0,0.1,0.45,0.7,0.95,1,1,1,1,1,1
1051,0,0.15,0.5,0.85,0.95,1,1,1,1,1,1
1053,0,0,0,0,0,0,0.5,1,1,1,1
1055,0,0,0.25,0.5,0.625,0.75,0.75,1,1,1,1
1057,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1,1
1067,0,0.166666667,0.5,0.666666667,1,1,1,1,1,1,1
1069,0.129032258,0.290322581,0.548387097,0.677419355,0.967741935,1,1,1,1,1,1
1071,0,0.142857143,0.142857143,0.285714286,0.714285714,1,1,1,1,1,1
1073,0.024064171,0.171122995,0.403743316,0.660427807,0.85026738,0.914438503,0.949197861,0.975935829,1,1,1
1077,0,0.125,0.375,0.625,0.875,0.875,1,1,1,1,1
1079,0,0,0,0,0,0,0.25,0.25,0.75,0.75,0.75
1081,0.108695652,0.195652174,0.369565217,0.739130435,0.891304348,0.934782609,1,1,1,1,1
1083,0,0.25,0.25,0.6,0.8,0.95,0.95,1,1,1,1
1085,0,0.5,1,1,1,1,1,1,1,1,1
1089,0,0.145454545,0.327272727,0.518181818,0.790909091,0.918181818,0.945454545,0.981818182,0.981818182,0.990909091,1
1091,0,0.5,0.5,0.5,1,1,1,1,1,1,1
1095,0,0.230769231,0.461538462,0.538461538,0.615384615,0.769230769,0.769230769,0.846153846,0.846153846,0.846153846,0.846153846
1097,0.016,0.192,0.536,0.736,0.856,0.936,0.968,1,1,1,1
1099,0,0.111111111,0.444444444,0.555555556,0.888888889,1,1,1,1,1,1
1101,0.047619048,0.238095238,0.5,0.761904762,0.904761905,0.952380952,0.976190476,0.976190476,1,1,1
1103,0.111111111,0.185185185,0.444444444,0.666666667,0.962962963,1,1,1,1,1,1
1107,0,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1
1109,0.2,0.2,0.8,0.8,0.8,0.8,0.8,1,1,1,1
1111,0,0,0,0.333333333,0.333333333,0.333333333,0.666666667,0.666666667,0.666666667,0.666666667,1
1113,0,0,0.285714286,0.714285714,1,1,1,1,1,1,1
1115,0,0.027027027,0.378378378,0.675675676,0.810810811,0.918918919,0.918918919,0.972972973,1,1,1
1117,0.025157233,0.182389937,0.440251572,0.754716981,0.855345912,0.93081761,0.987421384,1,1,1,1
1121,0.133333333,0.133333333,0.266666667,0.6,0.8,0.866666667,0.866666667,0.866666667,1,1,1
1123,0,0.166666667,0.416666667,0.5,0.75,0.833333333,0.833333333,0.916666667,1,1,1
1125,0,0.166666667,0.458333333,0.75,1,1,1,1,1,1,1
1127,0,0.136363636,0.454545455,0.590909091,0.772727273,0.954545455,1,1,1,1,1
1129,0,0,0,0.4,0.8,0.8,0.8,0.8,0.8,1,1
2020,0.033707865,0.134831461,0.303370787,0.494382022,0.662921348,0.842696629,0.921348315,1,1,1,1
2090,0,0,0.066666667,0.2,0.333333333,0.533333333,0.533333333,0.533333333,0.8,0.933333333,1
2110,0.052631579,0.263157895,0.368421053,0.421052632,0.684210526,0.789473684,0.894736842,0.947368421,0.947368421,0.947368421,0.947368421
2122,0.142857143,0.285714286,0.285714286,0.357142857,0.357142857,0.571428571,0.571428571,0.714285714,0.857142857,0.857142857,0.928571429
2130,0,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,1,1
2170,0,0.307692308,0.346153846,0.423076923,0.692307692,0.730769231,0.884615385,0.923076923,0.961538462,0.961538462,1
2240,0,0,0,0,0,0,0.333333333,0.666666667,0.666666667,1,1
4003,0,0,0,0,0,0,0.176470588,0.176470588,0.352941176,0.352941176,0.588235294
4005,0.068965517,0.137931034,0.172413793,0.275862069,0.448275862,0.620689655,0.689655172,0.689655172,0.75862069,0.862068966,0.965517241
4007,0.05,0.1,0.15,0.2,0.3,0.55,0.6,0.7,0.7,0.75,0.9
4009,0,0,0,0,0,0.333333333,0.333333333,0.333333333,1,1,1
4012,0,0,0,0,0,0.142857143,0.571428571,0.571428571,0.571428571,0.571428571,0.571428571
4013,0.021126761,0.197183099,0.428403756,0.644953052,0.78814554,0.883802817,0.938967136,0.966549296,0.988262911,1,1
4015,0.023529412,0.058823529,0.164705882,0.235294118,0.282352941,0.447058824,0.529411765,0.611764706,0.694117647,0.729411765,0.823529412
4017,0,0,0.083333333,0.083333333,0.125,0.208333333,0.25,0.541666667,0.75,0.75,0.875
4019,0.053333333,0.226666667,0.395555556,0.564444444,0.742222222,0.853333333,0.906666667,0.942222222,0.973333333,0.995555556,1
4021,0,0.153846154,0.336538462,0.596153846,0.788461538,0.923076923,0.961538462,1,1,1,1
4023,0.125,0.125,0.25,0.25,0.5,0.875,0.875,0.875,0.875,0.875,0.875
4025,0,0.016666667,0.2,0.366666667,0.45,0.533333333,0.666666667,0.766666667,0.816666667,0.85,0.883333333
4027,0,0,0,0.045454545,0.136363636,0.227272727,0.272727273,0.272727273,0.272727273,0.363636364,0.5
5005,0,0.076923077,0.230769231,0.307692308,0.384615385,0.692307692,0.769230769,0.846153846,0.923076923,0.923076923,0.923076923
5007,0.005319149,0.031914894,0.132978723,0.255319149,0.388297872,0.579787234,0.718085106,0.781914894,0.872340426,0.925531915,0.978723404
5009,0,0,0.076923077,0.307692308,0.384615385,0.692307692,0.692307692,0.846153846,0.923076923,1,1
5015,0,0,0,0,0,0,0.333333333,0.666666667,0.833333333,0.833333333,1
5019,0,0,0.090909091,0.272727273,0.545454545,0.818181818,1,1,1,1,1
5023,0,0.181818182,0.363636364,0.363636364,0.454545455,0.727272727,0.909090909,1,1,1,1
5029,0.166666667,0.333333333,0.333333333,0.833333333,1,1,1,1,1,1,1
5031,0,0.130434783,0.326086957,0.456521739,0.673913043,0.782608696,0.891304348,0.913043478,0.913043478,0.956521739,1
5033,0,0.095238095,0.238095238,0.476190476,0.619047619,0.761904762,0.857142857,0.904761905,0.952380952,0.952380952,1
5035,0,0.125,0.25,0.5,0.75,0.75,0.75,0.75,0.875,1,1
5041,0,0,0,0.5,1,1,1,1,1,1,1
5043,0,0,0,0,0,0,0,0.5,0.5,1,1
